Name,Price,Reviews,Weight,Class_info,Rating,Grocery,Sports-Nutrition
"Optimum Nutrition, Gold Standard 100% Whey, Double Rich Chocolate, 5 lbs (2.27 kg)",105.53,19762,2270,Sports-Nutrition,4.6,0,1
"California Gold Nutrition, L-Glutamine Powder, AjiPure, Gluten Free, 16 oz (454 g)",24.12,4875,454,Sports-Nutrition,4.6,0,1
"Now Foods, L-Arginine, Double Strength, 1,000 mg, 120 Tablets",25.05,5490,0,Sports-Nutrition,4.6,0,1
"Naturade, Total Soy, Weight Loss Shake, Chocolate, 1.2 lbs (540 g)",25.99,9127,540,Sports-Nutrition,4.4,0,1
"California Gold Nutrition, Foods, Variety Pack Snack Bars, 12 Bars, 1.4 oz (40 g) Each",11.3,24269,40,Sports-Nutrition,4.7,0,1
"Now Foods, L-Carnitine, 1000 mg, 100 Tablets",47.26,2957,1,Sports-Nutrition,4.7,0,1
"Sports Research, Omega-3 Fish Oil, Triple Strength, 1,250 mg, 30 Softgels",14.7,26448,0.25,Sports-Nutrition,4.7,0,1
"Muscletech, Nitro Tech, 100% Whey Gold, Double Rich Chocolate, 5.54 lbs (2.51 kg)",87.43,4193,2510,Sports-Nutrition,4.6,0,1
"Quest Nutrition, Protein Cookie, Chocolate Chip, 12 Pack, 2.08 oz (59 g) Each",44.26,1887,59,Sports-Nutrition,4.3,0,1
"California Gold Nutrition, BCAA, AjiPure® Branched Chain Amino Acids, 500 mg, 60 Veggie Caps",7.54,1591,0.5,Sports-Nutrition,4.7,0,1
"Sports Research, SUPERBA 2 Antarctic Krill Oil with Astaxanthin, 1,000 mg, 60 Softgels",42.27,3541,0,Sports-Nutrition,4.5,0,1
"Quest Nutrition, Tortilla Style Protein Chips, Nacho Cheese, 12 Bags, 1.1 oz (32 g ) Each",49.01,2922,32,Sports-Nutrition,4.5,0,1
"ALLMAX Nutrition, Caffeine , 200 mg, 100 Tablets",10.15,3324,0.2,Sports-Nutrition,4.7,0,1
"Lake Avenue Nutrition, Whey Protein + Probiotics, Vanilla Flavor, 5 lb (2,270 g)",90.46,454,270,Sports-Nutrition,4.6,0,1
"Cellucor, C4 Sport, Pre-Workout, Blue Raspberry, 9.5 oz (270 g)",30.14,1155,270,Sports-Nutrition,4.6,0,1
"California Gold Nutrition, L-Arginine, AjiPure, 500 mg, 60 Veggie Capsules",7.54,2036,0.5,Sports-Nutrition,4.7,0,1
"BNRG, Power Crunch Protein Energy Bar, Triple Chocolate, 12 Bars, 1.4 oz (40 g) Each",31,3302,40,Sports-Nutrition,4.5,0,1
"Sports Research, Omega-3 Fish Oil, Triple Strength, 1,250 mg, 90 Softgels",33.85,26448,0.25,Sports-Nutrition,4.7,0,1
"Muscletech, Essential Series, Platinum 100% Glutamine, Unflavored, 5 g, 10.58 oz (300 g)",22.6,893,5,Sports-Nutrition,4.6,0,1
"Now Foods, Sports, Pea Protein, Pure Unflavored, 2 lbs (907 g)",30.07,2603,907,Sports-Nutrition,4.3,0,1
"Muscletech, Essential Series, Platinum 100% Pure CLA, 800 mg, 90 Soft Gel Caps",19.95,259,0.8,Sports-Nutrition,4.5,0,1
"Primaforce, Citrulline Malate, Unflavored, 7.0 oz (200 g)",26.5,1627,200,Sports-Nutrition,4.6,0,1
"Muscletech, Nitro Tech, Whey Isolate + Lean Musclebuilder, Milk Chocolate, 10 lbs (4.54 kg)",135.67,3560,4540,Sports-Nutrition,4.6,0,1
"Pure Protein, Chocolate Peanut Caramel Bar, 12 Bars, 1.76 oz (50 g) Each",28.76,3270,50,Sports-Nutrition,4.5,0,1
"Sports Research, Liquid Elderberry Sambucus Complex Spray, 1,040 mg, 2 fl oz (60 ml)",14.74,3695,0.04,Sports-Nutrition,4.8,0,1
